第0世代
f1,f2
161.91,9.78614,4
153.138,17.0102,4
154.857,11.9964,4
151.663,25.0789,4
150.628,28.697,4
151.683,20.5637,4
153.603,15.0195,4
152.448,18.7051,4
154.425,12.5364,4
153.94,14.0254,4
150.883,25.2433,4
152.233,19.3534,4
150.717,26.3959,4
166.56,8.6265,5
150.073,81.6723,5
163.25,9.65792,5
150.438,40.8857,5
155.855,10.7694,5
151.561,26.8083,5
151.7,21.8846,5
155.175,14.1275,5
151.356,37.7673,5
153.235,20.3815,5
153.94,16.7594,5
150.668,38.6984,5
153.798,19.0039,5
155.812,12.7553,5
151.31,37.8717,5
166.56,8.62651,6
150.38,95.6613,6
150.477,52.2927,6
160.235,10.7753,6
163.872,10.3964,6
156.048,11.5361,6
151.285,38.9519,6
151.712,25.6815,6
150.987,49.4949,6
153.892,20.594,6
154.858,18.3503,6
155.471,14.4154,6
155.425,18.1366,6
153.318,21.2978,6
153.018,22.5587,6
152.321,24.6632,6
152.335,22.6605,6
166.56,10.0944,7
151.019,64.9615,7
163.25,11.2291,7
156.915,11.5361,7
151.368,46.1076,7
151.723,30.2775,7
151.408,44.9073,7
152.345,22.8175,7
154.231,20.6857,7
155.555,15.1079,7
156.548,13.6014,7
152.263,28.6689,7
155.042,18.7791,7
155.255,18.5262,7
152.14,30.0811,7
166.688,10.9337,8
151.112,87.5692,8
151.618,50.5577,8
160.383,11.7539,8
157.17,11.8966,8
151.814,33.2443,8
159.902,11.7626,8
152.388,24.1005,8
153.647,23.1407,8
156.425,16.3168,8
152.262,31.0102,8
155.007,22.9178,8
155.985,17.4256,8
155.305,21.3734,8
155.928,20.9728,8
151.988,32.8114,8
155.729,21.0516,8
166.688,11.0087,9
151.63,68.2437,9
151.903,43.5815,9
162.628,11.7804,9
152.333,31.9019,9
160.122,12.0429,9
151.88,56.8685,9
151.875,57.7503,9
155.985,18.0331,9
156.437,16.4768,9
155.363,22.1054,9
158.825,12.3471,9
157.298,13.6443,9
152.703,26.5711,9
157.85,12.7151,9
154.24,24.298,9
153.388,24.6298,9
154.92,23.3406,9
154.845,23.8997,9
153.289,25.8808,9
152.976,26.0571,9
153.018,25.9464,9
167.768,11.9387,10
151.745,96.187,10
166.688,12.3055,10
159.792,12.6701,10
151.96,59.2519,10
151.764,74.6155,10
152.333,42.7139,10
153.598,25.3804,10
155.67,23.2233,10
151.888,70.5399,10
156.048,18.3725,10
157.213,16.4867,10
159.263,13.3774,10
157.975,14.5162,10
153.26,28.8607,10
152.358,35.9883,10
153.175,31.8617,10
155.985,20.5438,10
152.837,33.933,10
152.575,34.5001,10
159.5,13.1244,10
