第0世代
,f1,f2,front
146.094,83.4559,100,0
147.008,69.3431,100,0
147.345,18.9698,100,0
148.902,7.7423,92,0
150.003,5.87249,89,0
146.176,71.6324,97,0
148.36,17.9444,93,0
148.083,18.1284,93,0
156.925,3.07285,81,1
148.068,28.4883,91,1
154.723,4.21687,87,1
152.973,5.82208,83,1
148.827,26.0321,99,1
149.618,13.0077,86,1
149.245,22.4053,96,1
151.408,6.0241,90,1
151.158,9.28614,94,1
150.158,10.8873,94,1
149.455,17.8875,93,1
149.331,18.7909,91,1
158.995,4.71687,85,2
148.638,70.4997,100,2
149.408,28.9287,99,2
148.832,60.4035,93,2
152.988,6.78542,86,2
156.78,6.30154,82,2
150.473,11.6529,92,2
151.85,8.25708,80,2
150.323,18.0466,99,2
158.41,5.28798,85,2
149.52,18.9186,100,2
157.34,6.04941,81,2
148.676,62.1986,94,2
151.355,10.8434,98,2
149.649,18.7171,93,2
151.405,10.1297,93,2
162.08,7.13783,88,3
148.683,75.915,91,3
157.643,7.17169,82,3
149.633,28.8028,99,3
149.508,57.4217,89,3
153.217,7.85843,90,3
150.088,19.9794,99,3
150.958,11.8619,98,3
149.22,62.1378,83,3
149.169,70.5047,95,3
151.405,10.1297,93,3
149.016,71.6238,91,3
152.36,9.78042,91,3
152.61,9.34265,86,3
148.727,75.5816,91,3
167.598,7.30809,81,4
148.764,90.3322,96,4
159.155,7.54642,81,4
153.27,8.43373,94,4
150.252,22.8168,87,4
150.092,56.6428,83,4
149.222,70.736,91,4
151.01,12.9878,92,4
148.895,80.7862,97,4
149.758,57.6717,89,4
150.644,21.8896,93,4
170.8,7.75997,85,5
149.472,78.026,91,5
159.208,8.0241,82,5
150.837,58.6579,83,5
150.988,24.2926,91,5
150.163,64.1242,100,5
149.837,73.2855,97,5
152.105,13.8498,93,5
156.803,8.43373,94,5
151.277,16.0302,91,5
151.09,20.0706,98,5
155.208,10.241,97,5
153.786,13.6621,84,5
156.388,8.96519,94,5
149.761,73.6616,91,5
154.923,12.1116,86,5
154.27,12.7416,90,5
154.07,12.9858,100,5
160.123,8.3765,84,6
149.678,83.651,93,6
151.023,34.8504,94,6
150.375,64.7931,94,6
157.425,8.43373,94,6
150.292,70.7766,97,6
155.552,10.241,97,6
154.158,15.2278,84,6
155.09,12.3375,98,6
153.193,16.2871,94,6
152.275,16.3755,94,6
151.074,27.5701,97,6
151.275,22.4105,88,6
151.473,20.1739,83,6
151.812,17.9973,87,6
151.238,27.1344,91,6
152.085,17.7961,96,6
159.043,8.43507,84,7
150.336,75.2732,95,7
151.253,52.3645,84,7
151.279,29.1633,99,7
156.345,11.8999,86,7
157.962,11.6926,90,7
155.462,14.4064,98,7
154.533,15.8182,87,7
151.052,64.2122,93,7
150.503,67.1059,90,7
153.799,17.1695,90,7
158.73,10.2761,82,7
151.983,18.1284,93,7
152.937,17.4887,92,7
151.902,25.2919,84,7
151.777,26.0532,90,7
151.035,65.8989,100,7
152.463,17.7252,100,7
152.442,17.892,97,7
161.155,8.55626,94,8
150.632,82.1737,96,8
151.253,59.9462,86,8
151.34,31.835,89,8
159.905,9.95955,94,8
151.03,69.4629,99,8
158.638,12.2218,84,8
150.885,77.305,91,8
154.525,17.8795,85,8
153.114,17.8926,94,8
152.515,22.7658,95,8
151.927,26.7759,80,8
157.773,12.5378,86,8
156.193,14.9226,84,8
155.128,16.039,81,8
151.683,29.7671,84,8
152.585,18.2367,100,8
157.048,12.5681,84,8
154.975,16.915,85,8
156.84,13.2754,94,8
156.482,14.7628,84,8
156.622,13.9283,92,8
162.618,9.37775,85,9
150.761,95.7861,100,9
151.757,44.195,89,9
151.625,62.4374,88,9
151.186,86.7864,88,9
160.372,12.6074,86,9
151.305,71.1064,84,9
152.066,32.1932,91,9
157.307,12.6546,85,9
156.973,13.6303,86,9
155.163,17.5563,95,9
160.89,10.6367,82,9
152.782,26.2735,94,9
154.893,18.1319,94,9
153.208,18.9548,96,9
153.708,18.2367,100,9
152.978,23.1032,83,9
152.857,24.8079,94,9
153.703,18.5544,98,9
157.298,13.3354,90,9
164.268,10.1153,81,10
151.674,62.7009,93,10
152.152,43.4548,99,10
152.799,32.1262,100,10
160.99,11.7066,85,10
152.393,40.7912,97,10
157.75,14.1275,85,10
152.93,25.8908,88,10
154.147,18.3562,92,10
155.835,18.319,98,10
159.15,13.753,100,10
159.59,13.4105,89,10
160.89,12.8574,82,10
156.973,17.352,86,10
157.092,14.5532,84,10
153.34,25.067,93,10
153.48,21.9204,91,10
156.06,17.7833,88,10
153.57,20.0023,100,10
153.947,19.1469,86,10
170.633,11.3607,83,11
151.968,80.9102,92,11
152.675,51.4461,100,11
152.93,25.8908,88,11
164.693,12.0934,93,11
161.58,12.5934,91,11
152.243,67.2168,94,11
152.254,57.0607,90,11
158.137,14.2419,84,11
152.052,79.606,92,11
163.933,12.1864,86,11
157.387,17.1629,81,11
153.938,20.0495,85,11
153.507,22.0542,92,11
155.467,18.3728,91,11
155.198,18.5728,98,11
157.83,15.4817,90,11
171.268,12.9356,84,12
152.007,96.4314,87,12
161.617,12.9639,91,12
153.077,30.0084,100,12
152.338,86.5575,98,12
152.997,59.4029,86,12
152.346,59.9973,84,12
158.41,14.2468,85,12
153.539,22.3357,82,12
154.103,20.983,83,12
156.092,18.5773,86,12
155.956,20.6533,90,12
157.438,17.6058,82,12
158.015,16.1158,84,12
157.653,17.4725,89,12
152.908,59.509,96,12
155.961,20.5018,81,12
162.442,13.0442,91,13
152.38,67.141,90,13
158.188,16.7946,86,13
153.815,25.4438,94,13
153.164,55.8897,93,13
153.381,41.4596,100,13
159.717,14.9608,84,13
154.27,20.9918,97,13
153.303,42.3698,81,13
156.255,18.9922,80,13
156.338,18.7823,81,13
161.135,14.3139,85,13
152.658,61.4305,92,13
161.665,13.309,82,13
152.913,60.6202,91,13
154.153,24.2542,85,13
167.555,13.0824,87,14
152.751,74.736,100,14
153.835,25.9362,94,14
153.738,59.1649,94,14
165.232,13.9624,87,14
153.566,62.4258,95,14
156.592,19.1963,86,14
153.336,74.4067,85,14
162.363,14.3949,93,14
159.997,15.9773,85,14
163.262,14.3806,92,14
158.253,18.8604,84,14
155.14,21.6003,86,14
159.462,17.3405,89,14
154.353,23.1695,97,14
158.33,17.4038,90,14
154.858,21.8833,85,14
153.664,59.9261,91,14
155.088,21.7339,90,14
170.633,13.7728,83,15
152.764,89.4759,88,15
153.761,73.1358,86,15
153.84,27.4016,98,15
164.693,14.6506,93,15
160.998,16.4369,84,15
152.878,77.4431,97,15
158.948,18.1953,86,15
157.09,19.9716,90,15
159.598,17.5144,85,15
156.665,21.4778,97,15
155.252,21.9366,95,15
154.518,23.7269,91,15
153.958,27.2182,98,15
153.377,75.9135,97,15
153.581,74.8137,94,15
154.68,23.4872,94,15
155.085,22.1208,98,15
173.426,15.5184,80,16
152.914,83.3758,97,16
153.876,47.2797,96,16
167.07,15.6112,80,16
153.713,75.2066,94,16
161.773,16.4748,93,16
153.933,35.4939,98,16
155.398,22.1147,85,16
159.209,18.672,85,16
157.335,20.1655,87,16
161.128,18.1734,82,16
153.552,79.2394,89,16
154.39,29.8472,83,16
158.188,19.9985,82,16
153.938,30.2625,83,16
155.025,26.1631,82,16
153.254,83.082,96,16
155.255,25.7564,92,16
161.655,16.5602,99,16
155.203,26.1254,100,16
168.635,15.8009,81,17
153.174,86.9833,84,17
153.957,48.8973,99,17
162.07,16.6921,96,17
154.09,31.1025,93,17
157.565,20.4156,89,17
160.085,19.7307,87,17
155.085,27.3414,98,17
156.357,22.2421,83,17
154.688,29.8962,94,17
161.448,19.2131,83,17
155.438,24.7401,86,17
161.492,18.8951,85,17
156.17,22.4073,87,17
155.565,22.7556,85,17
155.554,22.7752,86,17
162.528,17.0062,93,18
153.463,87.9992,84,18
153.997,65.9669,86,18
154.206,41.0194,96,18
158.957,20.9754,96,18
153.982,76.8567,95,18
160.427,19.8689,85,18
156.508,22.3349,86,18
154.7,36.2591,91,18
161.985,19.009,86,18
155.381,31.8083,97,18
155.481,27.2193,85,18
155.928,24.8413,81,18
156.153,23.6404,84,18
162.4,19.009,86,18
164.278,17.3962,93,19
154.004,80.2025,98,19
162.07,19.2988,96,19
154.208,67.9284,97,19
154.232,51.1506,97,19
159.325,21.5952,87,19
158.653,22.9372,91,19
155.757,40.6847,97,19
155.763,35.666,83,19
156.99,23.5522,83,19
155.771,28.645,82,19
154.938,43.602,99,19
154.605,45.992,100,19
155.973,26.7247,81,19
156.584,24.5991,80,19
159.068,22.0703,91,19
154.85,45.1186,100,19
156.825,23.8095,86,19
168.895,17.4694,89,20
154.244,71.5631,92,20
154.958,44.5223,100,20
154.783,64.685,86,20
155.918,40.2554,95,20
155.948,29.4896,89,20
166.895,17.8201,81,20
161.065,21.8793,95,20
162.905,19.817,97,20
159.083,23.8966,83,20
165.198,19.6101,84,20
157.757,24.0761,95,20
160.25,22.7899,95,20
162.415,19.9972,86,20
165.485,18.9543,80,20
154.292,68.5861,83,20
156.652,24.6771,96,20
155.6,44.2982,100,20
156.497,27.3204,95,20
154.707,65.2994,92,20
172.348,17.5101,80,21
154.474,74.2444,96,21
155.986,31.3035,91,21
155.35,47.6054,97,21
155.036,50.11,99,21
154.923,65.3696,81,21
163.33,20.0119,84,21
168.81,17.8653,90,21
167.895,18.555,92,21
161.273,22.7533,95,21
165.954,19.2222,85,21
165.332,19.6663,85,21
160.578,23.6957,82,21
154.618,70.1541,100,21
158.549,24.1017,95,21
156.598,27.3961,97,21
158.228,24.4634,80,21
156.98,25.8878,83,21
154.86,66.8049,98,21
161.162,23.3553,86,21
156.976,27.039,82,21
169.803,18.9956,83,22
154.499,79.6759,96,22
163.66,20.1676,86,22
155.071,59.7428,97,22
155.48,48.0748,95,22
156.141,39.2486,89,22
154.831,70.8455,97,22
162.493,22.7778,86,22
157.512,26.2786,86,22
159.43,24.7569,80,22
160.878,24.059,94,22
154.622,75.4797,96,22
156.763,35.2528,99,22
159.948,24.1693,100,22
156.804,31.854,92,22
156.98,28.49,83,22
156.932,29.7667,95,22
164.103,20.4239,91,23
154.868,72.2277,95,23
155.488,49.0914,85,23
156.417,42.1098,97,23
155.12,62.9254,88,23
156.833,32.5215,86,23
159.552,26.0887,97,23
157.173,29.3983,84,23
162.728,23.2114,94,23
160.83,25.0911,86,23
161.418,25.0362,87,23
155.113,64.9072,84,23
164.027,20.7291,90,23
158.402,28.5329,91,23
162.567,24.118,91,23
158.621,27.3804,84,23
171.975,20.4699,92,24
155.208,67.7286,89,24
165.985,20.673,80,24
155.648,58.05,92,24
156.623,45.1391,95,24
156.933,34.5456,86,24
155.978,50.3059,97,24
157.311,29.4316,85,24
162.363,25.1354,86,24
159.696,27.101,80,24
159.559,27.6433,93,24
164.47,23.571,98,24
163.437,23.613,90,24
165.385,21.5006,86,24
164.575,21.5974,84,24
162.89,24.1343,98,24
155.213,80.9107,90,25
166.227,21.0497,87,25
155.649,60.4492,94,25
156.414,51.2739,84,25
163.028,25.2291,96,25
155.581,79.9467,92,25
158.513,29.619,80,25
161.201,27.4447,95,25
160.458,28.4994,86,25
164.857,22.502,90,25
156.945,40.9096,84,25
158.196,34.7458,98,25
157.396,35.4632,87,25
165.65,21.751,80,25
157.017,39.3034,95,25
165.332,22.102,85,25
157.212,36.9826,100,25
157.253,36.538,100,25
165.998,23.4103,85,26
155.772,79.6228,95,26
161.502,29.0151,89,26
159.092,29.646,83,26
155.938,74.9717,95,26
156.762,52.4022,98,26
157.257,36.9512,99,26
156.247,61.8494,86,26
156.028,64.1097,86,26
157.153,45.9727,84,26
162.529,27.468,95,26
164.905,23.9705,86,26
164.183,25.3457,90,26
157.037,49.761,84,26
163.22,25.417,92,26
158.261,36.0232,85,26
159.063,34.0358,83,26
158.713,34.1829,84,26
163.598,25.4073,82,26
158.389,35.8846,93,26
166.103,23.6945,90,27
155.919,82.9915,88,27
161.672,29.3213,82,27
156.207,65.0936,86,27
157.388,37.8086,92,27
156.118,72.4279,83,27
156.967,55.6081,97,27
158.952,36.346,93,27
164.895,26.6849,96,27
159.702,29.8297,94,27
157.266,47.6896,97,27
163.482,28.7966,98,27
159.098,30.3133,97,27
164.15,28.6112,90,27
157.152,51.8884,84,27
171.558,24.079,94,28
156.561,68.3432,95,28
157.151,56.27,94,28
168.81,24.7016,90,28
157.39,39.5908,97,28
163.949,29.3995,92,28
165.776,27.0273,85,28
157.023,64.727,92,28
160.59,30.2372,90,28
158.595,38.6928,93,28
159.102,32.7744,90,28
165.189,28.7189,90,28
158.408,39.4019,97,28
159.67,30.5446,82,28
157.54,39.4215,85,28
159.167,31.8876,93,28
159.617,31.188,86,28
176.633,24.1621,82,29
156.661,70.2727,95,29
